Russian Federation;RUS;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;7849,519043
Rwanda;RWA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;368,2196024
Samoa;WSM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2534,122049
San Marino;SMR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Sao Tome and Principe;STP;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;967,4908075
Saudi Arabia;SAU;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;25918,96508
Senegal;SEN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;990,7775226
Serbia;SRB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Seychelles;SYC;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8779,852313
Sierra Leone;SLE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;992,2593519
Singapore;SGP;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;23272,70009
Sint Maarten (Dutch part);SXM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Slovak Republic;SVK;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8597,463915
Slovenia;SVN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;13615,58586
Solomon Islands;SLB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1805,732068
Somalia, Fed. Rep.;SOM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;259,4000219
South Africa;ZAF;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;4544,230232
South Sudan;SSD;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Spain;ESP;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;19174,77083
Sri Lanka;LKA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1388,589518
St. Kitts and Nevis;KNA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;10136,98655
St. Lucia;LCA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8418,43122
St. Martin (French part);MAF;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
St. Vincent and the Grenadines;VCT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3784,799429
Sudan;SDN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;764,4504395
Suriname;SUR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;6474,955712
Sweden;SWE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;34903,34804
Switzerland;CHE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;70063,85171
Syrian Arab Republic;SYR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;931,8850684
Tajikistan;TJK;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1312,947013
Tanzania;TZA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;541,5447998
Thailand;THA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2631,519711
Timor-Leste;TLS;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;633,1824866
Togo;TGO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;703,623952
Tonga;TON;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2987,636814
Trinidad and Tobago;TTO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;6058,215216
Tunisia;TUN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2114,470345
Turkiye;TUR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;5188,182444
Turkmenistan;TKM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3495,748389
Turks and Caicos Islands;TCA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Tuvalu;TUV;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2450,79726
Uganda;UGA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;369,839287
Ukraine;UKR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3102,310547
United Arab Emirates;ARE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;66481,61376
United Kingdom;GBR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;30071,20856
United States;USA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;39009,37251
Uruguay;URY;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8320,355905
Uzbekistan;UZB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1569,0108
Vanuatu;VUT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2637,260848
Venezuela, RB;VEN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3762,275068
Viet Nam;VNM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;687,8603163
Virgin Islands (U.S.);VIR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
West Bank and Gaza;PSE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Yemen, Rep.;YEM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1722,224394
Zambia;ZMB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;878,589206
Zimbabwe;ZWE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1653,565214
;;;;
;;;;
;;;;
Data from database: World Development Indicators;;;;
Last Updated: 04/08/2026;;;;
