Country Name;Country Code;Series Name;Series Code;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1998;1996
Cameroon;CMR;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,057706;-1,1336941;-1,1162626;-1,1579943;-1,1306679;-1,0952851;-1,1800614;-1,1694764;-1,2340704;-1,0477201;-0,9239071;-0,7867759;-0,7677497;-0,8274568;-0,8518879;-1,2320786;-1,1561621;-1,0642977;-1,3592621;-1,1590382;-1,1553371;-1,1922875
Canada;CAN;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,6422133;1,7955073;1,8073526;1,8841224;1,9407326;1,8679741;1,8178559;1,8292063;1,8407404;1,8892441;1,941867;1,9677562;1,9424897;1,9344584;1,9761934;1,9162476;1,7241736;1,9616148;1,8937597;2,0626992;2,1829869;2,1795226
Cayman Islands;CYM;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,6059907;0,6054315;0,6032059;0,6015906;0,6025403;0,8966267;0,8949794;1,2272246;1,227067;1,2291407;1,0319006;1,0315021;0,8629646;1,3294413;1,3353033;1,3271197;1,0419275;1,332687;1,3358417;1,3450898;1,3581532;1,3626213
Central African Republic;CAF;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,2524048;-1,2014248;-1,22089;-1,1807818;-1,3081853;-1,3662253;-1,2510311;-1,1350883;-0,9511;-0,9803047;-0,9798396;-1,0963308;-1,1470045;-1,0493179;-1,1206776;-1,2806541;-1,3134547;-1,1427486;-0,9751802;-1,2601757;-1,2371411;-1,2343656
Chad;TCD;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,4821998;-1,4780052;-1,4604181;-1,4572612;-1,5029281;-1,5175651;-1,4777283;-1,4313551;-1,376467;-1,3655434;-1,3954646;-1,4957;-1,5391258;-1,3736274;-1,2943601;-1,4441465;-1,3069672;-1,4853792;-1,3093816;-1,3036368;-1,2955219;-1,2927463
Chile;CHL;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,2156268;1,1570367;1,1121229;1,1123641;1,1036472;1,1438485;1,3860663;1,4311564;1,4796889;1,5441989;1,5074067;1,4205225;1,3947927;1,3963517;1,4713301;1,5020745;1,2679675;1,175906;1,5532108;1,5375504;1,3713894;1,5906957
China;CHN;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,0531167;-0,0496158;-0,0701512;-0,0492492;-0,092968;-0,1750814;-0,3014404;-0,4580204;-0,5068203;-0,4401165;-0,5891592;-0,5795465;-0,5068523;-0,614178;-0,6865856;-0,667396;-0,6390924;-0,5215173;-0,5858007;-0,5104071;-0,4335184;-0,3307815
Colombia;COL;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,2564639;-0,272275;-0,3185939;-0,410863;-0,3694889;-0,3173369;-0,3713217;-0,4412341;-0,4099866;-0,2066749;-0,3761085;-0,2895662;-0,2301046;-0,2642695;-0,2025515;-0,1001815;-0,0738816;-0,1782411;-0,2334001;-0,6209162;-0,5918542;-0,5147524
Comoros;COM;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,3224111;-1,2697513;-1,023535;-0,9443349;-0,8635472;-0,8467167;-0,8060681;-0,8220641;-0,7798117;-0,7945742;-0,7950791;-0,8052283;-0,7797098;-0,634343;-0,6322254;-0,8390562;-0,7728661;-0,6520842;-0,6501245;-0,9709273;-0,980716;-0,9078179
Congo, Dem. Rep.;COD;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,4573026;-1,5570273;-1,5315596;-1,4338617;-1,4189706;-1,3932852;-1,4371692;-1,3705987;-1,3730997;-1,3953591;-1,4190913;-1,3936551;-1,3199679;-1,3983526;-1,5096436;-1,5329034;-1,529402;-1,6067882;-1,606441;-1,6021766;-1,5961528;-1,8280343
Congo, Rep.;COG;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,3702576;-1,4947169;-1,3693694;-1,3044744;-1,2697622;-1,2818737;-1,2753339;-1,1924841;-1,2236744;-1,1227079;-1,1727804;-1,2084391;-1,2084292;-1,1032439;-1,1397101;-1,1076439;-0,9621535;-1,0208033;-1,0193486;-0,4962552;-0,6783636;-0,7452266
Cook Islands;COK;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;..;..;..;..;..;-0,1648083;-0,17328;-0,1637744;-0,1645849;0,1624394;0,1672639;-0,0125322;0,7376615;0,7297425;0,4504414;0,4088509;..;..;..;..;..;..
Costa Rica;CRI;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,756375;0,7249661;0,6496945;0,5853521;0,8034365;0,7699694;0,7809898;0,6633217;0,670503;0,6579069;0,6993258;0,6186572;0,4877144;0,4565309;0,39918;0,3850864;0,3790831;0,4825793;0,4588684;1,0244953;0,9585323;0,9596452
Cote d'Ivoire;CIV;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,4863208;-0,5301004;-0,483169;-0,4649251;-0,4714187;-0,4307488;-0,4250952;-0,7559365;-0,835052;-0,9073893;-1,0057031;-0,9153277;-0,9172218;-1,0556439;-1,143042;-1,2702551;-1,167954;-0,8817182;-0,7625117;-0,7462823;-0,4870276;0,0688334
Croatia;HRV;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,1356925;0,0249751;0,0249186;0,0456235;0,1085585;0,1722605;0,1153811;0,1136039;0,0944765;0,1086579;0,1141188;0,050097;0,0657437;0,1000877;0,1368044;0,1969274;0,2661675;0,3959679;0,4509738;0,0998038;-0,6953575;-0,7276259
Cuba;CUB;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,1430736;-0,1433557;-0,0111422;0,0402953;0,0053058;0,2903657;0,2926138;0,3160506;0,4572964;0,4883787;0,4889156;0,5302033;0,530215;0,4523843;0,4536368;-0,1442033;-0,2082439;-0,1221252;-0,1212314;-0,1983051;-0,194604;-0,0339506
Cyprus;CYP;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,4663521;0,6807343;0,6608595;0,8179827;0,7247771;0,6824205;0,7530793;0,9856079;1,0052242;1,0124344;1,1061312;1,0785963;1,1824327;1,0857157;1,1392607;0,9555973;0,9137833;1,111154;1,1770491;1,1796692;1,1833703;1,5416274
Czechia;CZE;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,6341668;0,6034081;0,6140583;0,7473855;0,6247694;0,5929256;0,5091331;0,3827776;0,4104378;0,4745101;0,3937065;0,3950891;0,4165926;0,4278636;0,538493;0,5643395;0,4510277;0,5110948;0,4083161;0,2594752;0,7763005;0,8082924
Denmark;DNK;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;2,2645808;2,1562325;2,1580954;2,1877812;2,1677475;2,1589365;2,1516341;2,2419071;2,258271;2,3322647;2,2632106;2,3099939;2,3017254;2,3189895;2,3453032;2,2532203;2,2298816;2,3034256;2,2855283;2,312161;2,3843202;2,3558581
Djibouti;DJI;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,8140783;-0,9286163;-0,8215556;-0,7643067;-0,7112911;-0,7297316;-0,7346191;-0,6208514;-0,5478799;-0,5260663;-0,5264958;-0,4886709;-0,283894;-0,4894592;-0,6564207;-0,6593771;-0,422042;-0,6267207;-0,624761;-0,6190162;-0,6288049;-0,6200615
Dominica;DMA;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,4019084;0,4981335;0,5097888;0,62126;0,6205238;0,6194167;0,6052154;0,8269725;0,8267117;0,8301434;0,8317948;0,7031943;0,7032262;0,7023194;0,7057308;0,7009683;0,5605873;0,8646521;0,8678068;0,8770548;0,8901183;0,8945863
Dominican Republic;DOM;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,7065552;-0,8021285;-0,8443735;-0,8010555;-0,794053;-0,7903907;-0,7555382;-0,7708869;-0,7816871;-0,7070725;-0,7609997;-0,7202043;-0,7442644;-0,7510177;-0,6553867;-0,8517184;-0,7185713;-0,8571186;-0,588125;-0,5461552;-0,5424541;-0,169797
Ecuador;ECU;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,5183859;-0,5273627;-0,6184243;-0,7757228;-0,7661054;-0,7228483;-0,7552215;-0,584111;-0,6136706;-0,6696298;-0,7117288;-0,7037348;-0,7162226;-0,7886171;-0,8151132;-0,8397299;-0,7760232;-0,6704346;-0,8039929;-0,7563515;-0,7156859;-0,5325772
Egypt, Arab Rep.;EGY;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,7914606;-0,6521092;-0,4749757;-0,4059653;-0,4472655;-0,5639736;-0,576258;-0,5658677;-0,5175138;-0,5611174;-0,608266;-0,4952858;-0,5715379;-0,5368287;-0,5725119;-0,6190665;-0,6297097;-0,630474;-0,6106491;-0,5521491;-0,5478542;-0,2903698
El Salvador;SLV;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,5107438;-0,5208324;-0,579658;-0,5282498;-0,5627985;-0,5236226;-0,4848632;-0,3454095;-0,4128276;-0,168123;-0,2559994;-0,2532086;-0,410106;-0,4139309;-0,3764328;-0,4242744;-0,3835688;-0,5478229;-0,7260707;-0,7200272;-0,742136;-0,8811521
Equatorial Guinea;GNQ;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,517481;-1,5178173;-1,5191557;-1,6336352;-1,6329041;-1,5888102;-1,5899681;-1,3099628;-1,2632178;-1,261717;-1,2609948;-1,2684339;-1,3611491;-1,3616268;-1,3598299;-1,5058021;-1,4048335;-1,4253937;-1,4243318;-1,4212188;-1,4168214;-1,4153174
Eritrea;ERI;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,3612091;-1,4238042;-1,4338129;-1,320663;-1,3528165;-1,3519275;-1,124763;-0,9908114;-0,8728257;-0,7517438;-0,7200414;-0,6866558;-0,6362941;-0,5423481;-0,4748534;-0,4150293;-0,2128556;-0,0183845;0,0850292;0,4891302;0,4972452;0,5000207
