Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
School enrollment, secondary (% gross);SE.SEC.ENRR;Central African Republic;CAF;12,12384033;12,27812004;10,22224998;..;..;..;..;..;..;..;..;10,97984982;10,99623966;..;..;..;..;..;..;11,99551964;..;15,91895962;15,61975956;..;..;..;13,94655037;15,8074398;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Chad;TCD;6,075349808;..;..;..;7,096189976;8,123240471;8,405929565;8,732910156;9,623829842;10,21395016;10,96428013;12,65340042;13,43682003;14,82954979;15,21780968;15,53209972;15,86979008;18,29099083;20,7904892;22,75427055;22,36927181;22,82248176;22,10879034;24,53260355;22,84857941;22,24542488;22,53049085;20,58556785;20,00211807;20,19287747;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Channel Islands;CHI;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Chile;CHL;..;..;..;..;..;..;..;..;..;..;86,90135956;..;89,42163849;90,62095642;91,0151062;92,00456238;91,99732971;91,55079651;91,54200745;89,85975647;90,99951172;90,98262024;89,50314331;99,15207672;99,86544037;100,9216766;101,4881363;102,2948227;103,1730499;104,4057693;103,6916885
School enrollment, secondary (% gross);SE.SEC.ENRR;China;CHN;39,00247955;41,56816101;44,44699097;46,75951004;47,15721893;48,96437836;52,30776978;54,73603821;..;58,63658142;59,49248123;62,20983887;62,83789825;64,05413055;..;..;74,05756378;78,1607132;82,67925262;88,28749847;90,78291733;92,03294252;92,2603063;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Colombia;COL;..;..;..;..;..;..;..;..;..;..;76,40447998;..;78,15519714;..;82,95046234;86,96164703;90,28766632;93,01280975;94,23155212;98,27008057;99,95436859;101,2058182;97,2326889;98,10150146;97,36328888;97,67411804;98,41562653;99,21932983;100,3733368;101,9893494;101,4994507
School enrollment, secondary (% gross);SE.SEC.ENRR;Comoros;COM;..;..;22,8796196;..;24,68370056;..;..;..;..;31,92237091;..;..;35,0426712;38,92200089;42,55347061;..;..;..;..;..;..;..;..;58,99858084;61,50787743;..;..;56,95021448;61,70146854;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Congo, Dem. Rep.;COD;..;..;22,24809074;23,88454056;25,39368057;27,32513046;..;..;..;..;..;..;..;..;..;..;..;33,61856079;35,83763885;37,39384079;37,03879166;38,94992065;38,80123138;38,5140419;41,1783905;42,18046188;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Congo, Rep.;COG;47,12284088;46,0549202;46,99164963;..;49,6101799;..;48,13708115;..;..;..;..;..;36,97161865;38,03369141;42,68132019;..;..;..;..;..;..;..;50,52032089;..;..;..;..;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Costa Rica;CRI;..;..;..;..;..;..;..;..;..;..;..;..;65,63790894;..;77,78919983;79,19320679;85,95723724;86,97624969;88,26229858;94,30343628;97,50673676;99,7109375;103,2673035;108,5341263;114,2898636;115,720871;118,2037125;121,5149612;125,9643478;132,8493347;132,6786804
School enrollment, secondary (% gross);SE.SEC.ENRR;Cote d'Ivoire;CIV;..;..;..;..;..;..;..;..;..;21,0010891;..;..;..;..;..;..;..;..;..;..;..;..;..;..;40,4629922;43,98656473;46,24250699;49,08635558;51,07261451;53,79193062;55,43803237
School enrollment, secondary (% gross);SE.SEC.ENRR;Croatia;HRV;..;..;..;..;..;..;..;..;..;..;..;94,77519989;95,02172852;95,49564362;..;99,07688904;99,03450775;99,01252747;98,99922943;98,93942261;98,89552307;99,26560211;99,34638977;101,800499;102,528923;102,9813309;103,7194366;104,2144165;104,960083;105,1359787;105,5854187
