Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Croatia;HRV;..;..;..;..;..;0,81790109;0,846736297;0,754704472;0,324602467;0,555158693;1,081606511;1,007825063;0,768646694;0,697994962;0,662508302;0,71926136;0,925690281;0,917435703;1,100566987;0,778726741;0,917408126;1,293940466;1,294442067;1,108479824;0,867348745;0,698157062;0,511310614;0,658339391;0,773060031;0,619466126;0,439094633
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cuba;CUB;0,889900006;0,974175975;0,980780882;0,726531019;0,749040388;1,103198783;1,427021804;1,130126635;0,568750636;0,788553451;1,906135859;1,176279179;1,367674889;1,920218749;2,705990898;2,637736541;3,746131179;6,720397948;3,186620445;1,763134618;2,69060313;2,926948254;2,187520362;1,711881605;1,667347718;0,693800859;0,469100172;0,663678033;1,101854199;0,920750895;0,565351678
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Curacao;CUW;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cyprus;CYP;0,030395286;0,018745723;0,012802457;0,012898024;0,009598808;0,007740009;0,014720566;0,024633769;0,011082271;0,014109308;0,019198478;0,009878277;0,010947039;0,00789407;0,008770465;0,00193201;0,001863201;0,00764839;0,019593476;0,027266492;0,04457225;0,071751764;0,072728857;0,044909163;0,034871859;0,019857897;0,001471314;0,005391486;0,004692312;0,003613252;0,007931086
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Czechia;CZE;1,433346712;1,70354684;1,109969299;0,977474119;0,728570452;0,746615356;0,701959149;0,661458599;0,515210661;0,436825556;0,557045438;0,778678694;0,470038679;0,416967464;0,888200042;0,767854032;0,764905942;0,695946016;1,533732458;0,701083426;0,965734444;1,07008711;0,640579925;0,382852117;0,345428962;0,314061907;0,310276297;0,372292875;0,389418621;0,399790319;0,416571327
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Denmark;DNK;0,550476869;0,325339495;0,331978946;0,389353554;0,354976841;0,370903245;0,537019819;0,544009603;0,155032602;0,548736539;1,518926774;1,232994913;1,17562785;1,10244847;1,309126706;1,720683052;1,821550483;1,609472608;2,107733046;1,183792143;1,218069595;1,635378919;1,522098458;1,176083463;0,983209243;0,521484569;0,342477975;0,470200712;0,587862612;0,446224763;0,162332732
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Djibouti;DJI;0,568218463;0,583263428;0,496362278;0,380891594;0,418635435;0,632478856;0,664007194;0,676909113;0,947348472;0,391087418;0,382079268;0,415974591;0,454277724;0,623059168;0,573154706;0,539507985;0,616385692;0,523310117;0,790439022;0,743212074;0,838156181;0,888463491;0,945907199;0,526727089;0,788998443;0,662618365;0,484424418;0,571398009;0,278959299;0,358531614;0,322148756
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Dominica;DMA;0,04249033;0,046038542;0,040582544;0,029638552;0,033180641;0,040285357;0,027614817;0,037896329;0,030749194;0,02546173;0,024917176;0,024272875;0,022138961;0,022810766;0,02202869;0,021634344;0,028680734;0,027065373;0,026123999;0,021986551;0,04915488;0,0412283;0,041452081;0,053937437;0,065145184;0,047467708;0,060234395;0,055945427;0,034824305;0,02842603;0,046289331
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Dominican Republic;DOM;2,010174588;1,407954635;0,80256648;0,27024182;0,793311412;1,140021778;0,703394465;0,503240743;0,048113153;0,190528243;0,341026792;0,022789006;0,027647779;0,541632395;1,21413015;0,72103539;1,606234311;2,528048004;0,234147046;0,123503913;0,172400177;0,340210818;0,446840709;1,02972097;1,037509545;0,535347858;1,281947932;1,035344541;0,868889464;1,055444442;1,239311094
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Ecuador;ECU;12,99156569;7,241412518;7,576412974;6,941669978;6,694767026;7,81653811;9,063843305;7,152325027;4,064218274;8,233060972;16,73243762;9,407336481;8,38814722;8,74010783;12,57263654;16,84983806;18,38941152;16,90019203;18,96187278;9,264082839;11,79073154;16,57737601;14,52651863;12,88132534;11,59035718;4,632023979;3,758067809;4,983720235;7,096420785;5,820701049;2,924306685
